n_layers,d_model (width),direction,type,FLOPS
8,2048,FW,det_top_k k=64,536539407517
9,2048,FW,det_top_k k=64,601865747761
10,2048,FW,det_top_k k=64,667192088005
20,2048,FW,det_top_k k=64,1320455490441
30,2048,FW,det_top_k k=64,1973718892878
1,4096,FW,det_top_k k=64,261585677837
2,4096,FW,det_top_k k=64,495334358043
3,4096,FW,det_top_k k=64,729083038248
4,4096,FW,det_top_k k=64,962831718454
5,4096,FW,det_top_k k=64,1196580398659
6,4096,FW,det_top_k k=64,1430329078865
7,4096,FW,det_top_k k=64,1664077759070
8,4096,FW,det_top_k k=64,1897826439275
9,4096,FW,det_top_k k=64,2131575119481
10,4096,FW,det_top_k k=64,2365323799686
20,4096,FW,det_top_k k=64,4702810601741
30,4096,FW,det_top_k k=64,7040297403795
1,128,BW,det_top_k k=64,5153603584
2,128,BW,det_top_k k=64,7368196096
3,128,BW,det_top_k k=64,9582788608
4,128,BW,det_top_k k=64,11797381120
5,128,BW,det_top_k k=64,14011973632
6,128,BW,det_top_k k=64,16226566144
7,128,BW,det_top_k k=64,18441158656
8,128,BW,det_top_k k=64,20655751168
9,128,BW,det_top_k k=64,22870343680
10,128,BW,det_top_k k=64,25084936192
20,128,BW,det_top_k k=64,47230861312
30,128,BW,det_top_k k=64,69376786432
1,256,BW,det_top_k k=64,10971103232
2,256,BW,det_top_k k=64,16104931328
3,256,BW,det_top_k k=64,21238759424
4,256,BW,det_top_k k=64,26372587520
5,256,BW,det_top_k k=64,31506415616
6,256,BW,det_top_k k=64,36640243712
7,256,BW,det_top_k k=64,41774071808
8,256,BW,det_top_k k=64,46907899904
9,256,BW,det_top_k k=64,52041728000
10,256,BW,det_top_k k=64,57175556096
20,256,BW,det_top_k k=64,108513837056
30,256,BW,det_top_k k=64,159852118016
1,512,BW,det_top_k k=64,25022021632
2,512,BW,det_top_k k=64,38410240000
3,512,BW,det_top_k k=64,51798458368
4,512,BW,det_top_k k=64,65186676736
5,512,BW,det_top_k k=64,78574895104
6,512,BW,det_top_k k=64,91963113472
7,512,BW,det_top_k k=64,105351331840
8,512,BW,det_top_k k=64,118739550208
9,512,BW,det_top_k k=64,132127768576
10,512,BW,det_top_k k=64,145515986944
20,512,BW,det_top_k k=64,279398170624
30,512,BW,det_top_k k=64,413280354304
1,1024,BW,det_top_k k=64,62787534848
2,1024,BW,det_top_k k=64,102348210176
3,1024,BW,det_top_k k=64,141908885504
4,1024,BW,det_top_k k=64,181469560832
5,1024,BW,det_top_k k=64,221030236160
6,1024,BW,det_top_k k=64,260590911488
7,1024,BW,det_top_k k=64,300151586816
8,1024,BW,det_top_k k=64,339712262144
9,1024,BW,det_top_k k=64,379272937472
10,1024,BW,det_top_k k=64,418833612800
20,1024,BW,det_top_k k=64,814440366080
30,1024,BW,det_top_k k=64,1210047119360
1,2048,BW,det_top_k k=64,176973266944
2,2048,BW,det_top_k k=64,307533561856
3,2048,BW,det_top_k k=64,438093856768
4,2048,BW,det_top_k k=64,568654151680
5,2048,BW,det_top_k k=64,699214446592
6,2048,BW,det_top_k k=64,829774741504
7,2048,BW,det_top_k k=64,960335036416
8,2048,BW,det_top_k k=64,1090895331328
9,2048,BW,det_top_k k=64,1221455626240
10,2048,BW,det_top_k k=64,1352015921152
20,2048,BW,det_top_k k=64,2657618870272
30,2048,BW,det_top_k k=64,3963221819392
1,4096,BW,det_top_k k=64,559963553792
2,4096,BW,det_top_k k=64,1027141910528
3,4096,BW,det_top_k k=64,1494320267264
4,4096,BW,det_top_k k=64,1961498624000
5,4096,BW,det_top_k k=64,2428676980736
6,4096,BW,det_top_k k=64,2895855337472
7,4096,BW,det_top_k k=64,3363033694208
8,4096,BW,det_top_k k=64,3830212050944
9,4096,BW,det_top_k k=64,4297390407680
10,4096,BW,det_top_k k=64,4764568764416
20,4096,BW,det_top_k k=64,9436352331776
30,4096,BW,det_top_k k=64,14108135899136
