batch, input_dim, output_dim, total_forward_time(ms), mean_forward_time(ms)
4,128,64,2712.640625,0.2712640625
4,128,128,2711.63671875,0.271163671875
4,128,256,2723.19482421875,0.272319482421875
4,128,512,2721.9697265625,0.27219697265625
4,128,1024,2718.959228515625,0.2718959228515625
4,128,2048,2707.919677734375,0.2707919677734375
4,256,64,2723.07666015625,0.272307666015625
4,256,128,2735.776611328125,0.2735776611328125
4,256,256,2708.53466796875,0.270853466796875
4,256,512,2705.291748046875,0.2705291748046875
4,256,1024,2700.713134765625,0.2700713134765625
4,256,2048,2720.941650390625,0.2720941650390625
4,512,64,2717.244140625,0.2717244140625
4,512,128,2728.35693359375,0.272835693359375
4,512,256,2735.515869140625,0.2735515869140625
4,512,512,2747.587890625,0.2747587890625
4,512,1024,2741.341796875,0.2741341796875
4,512,2048,2731.374267578125,0.2731374267578125
4,1024,64,2710.28369140625,0.271028369140625
4,1024,128,2743.453369140625,0.2743453369140625
4,1024,256,2753.58984375,0.275358984375
4,1024,512,2743.9560546875,0.27439560546875
4,1024,1024,2754.15625,0.275415625
4,1024,2048,2718.806640625,0.2718806640625
4,2048,64,2712.46533203125,0.271246533203125
4,2048,128,2719.583740234375,0.2719583740234375
4,2048,256,2692.639892578125,0.2692639892578125
4,2048,512,2741.607666015625,0.2741607666015625
4,2048,1024,2717.343505859375,0.2717343505859375
4,2048,2048,2732.0595703125,0.27320595703125
8,64,64,2693.93603515625,0.269393603515625
8,64,128,2707.470703125,0.2707470703125
8,64,256,2711.8818359375,0.27118818359375
8,64,512,2766.13525390625,0.276613525390625
8,64,1024,2755.296630859375,0.2755296630859375
8,64,2048,2749.657470703125,0.2749657470703125
8,128,64,2700.3486328125,0.27003486328125
8,128,128,2719.128173828125,0.2719128173828125
8,128,256,2728.235595703125,0.2728235595703125
8,128,512,2722.351806640625,0.2722351806640625
8,128,1024,2720.036376953125,0.2720036376953125
8,128,2048,2716.008056640625,0.2716008056640625
8,256,64,2742.909912109375,0.2742909912109375
8,256,128,2718.348388671875,0.2718348388671875
8,256,256,2733.574462890625,0.2733574462890625
8,256,512,2702.7041015625,0.27027041015625
8,256,1024,2737.0166015625,0.27370166015625
8,256,2048,2757.34375,0.275734375
8,512,64,2728.086669921875,0.2728086669921875
8,512,128,2736.43359375,0.273643359375
8,512,256,2693.58984375,0.269358984375
8,512,512,2743.342529296875,0.2743342529296875
8,512,1024,2729.315185546875,0.2729315185546875
8,512,2048,2743.715087890625,0.2743715087890625
8,1024,64,2708.9111328125,0.27089111328125
8,1024,128,2737.460693359375,0.2737460693359375
8,1024,256,2729.739013671875,0.2729739013671875
8,1024,512,2732.89794921875,0.273289794921875
8,1024,1024,2722.45166015625,0.272245166015625
8,1024,2048,2725.38671875,0.272538671875
8,2048,64,2756.727783203125,0.2756727783203125
8,2048,128,2755.80419921875,0.275580419921875
8,2048,256,2769.675537109375,0.2769675537109375
8,2048,512,2714.06005859375,0.271406005859375
8,2048,1024,2727.454833984375,0.2727454833984375
8,2048,2048,2705.6171875,0.27056171875
16,64,64,2712.16064453125,0.271216064453125
16,64,128,2708.078857421875,0.2708078857421875
16,64,256,2735.74853515625,0.273574853515625
16,64,512,2702.114990234375,0.2702114990234375
16,64,1024,2713.64990234375,0.271364990234375
16,64,2048,2710.872802734375,0.2710872802734375
16,128,64,2695.59765625,0.269559765625
16,128,128,2708.278076171875,0.2708278076171875
16,128,256,2725.2802734375,0.27252802734375
16,128,512,2760.961669921875,0.2760961669921875
16,128,1024,2768.78759765625,0.276878759765625
16,128,2048,2714.00830078125,0.271400830078125
16,256,64,2717.77685546875,0.271777685546875
16,256,128,2719.38818359375,0.271938818359375
16,256,256,2736.236572265625,0.2736236572265625
16,256,512,2705.726806640625,0.2705726806640625
16,256,1024,2713.595458984375,0.2713595458984375
16,256,2048,2748.2197265625,0.27482197265625
16,512,64,2733.76220703125,0.273376220703125
16,512,128,2807.14501953125,0.280714501953125
16,512,256,2719.801025390625,0.2719801025390625
16,512,512,2746.6962890625,0.27466962890625
16,512,1024,2756.826171875,0.2756826171875
16,512,2048,2783.8662109375,0.27838662109375
16,1024,64,2736.379150390625,0.2736379150390625
16,1024,128,2726.19921875,0.272619921875
16,1024,256,2732.93212890625,0.273293212890625
16,1024,512,2718.980712890625,0.2718980712890625
16,1024,1024,2732.92822265625,0.273292822265625
16,1024,2048,2710.804443359375,0.2710804443359375
