steps,profiled_steps,batch,k,input_dim,output_dim,mean runtime_jit (ms),mean runtime_nojit (ms),mean runtime_full (ms)
1000,0,2,64,1024,2048,0.35891199111938477,0.45555201172828674,0.11897599697113037
1000,0,2,64,2048,64,0.36979201436042786,0.4102720022201538,0.07251200079917908
1000,0,2,64,2048,128,0.37779200077056885,0.4347839951515198,0.07315199822187424
1000,0,2,64,2048,256,0.3545919954776764,0.4296000003814697,0.07833600044250488
1000,0,2,64,2048,512,0.3723520040512085,0.469184011220932,0.09142400324344635
1000,0,2,64,2048,1024,0.5946559906005859,0.5585280060768127,0.11772800236940384
1000,0,2,64,2048,2048,1.1546560525894165,0.7589120268821716,0.15568000078201294
1000,0,2,256,256,64,0.3540160059928894,0.40614399313926697,0.07411199808120728
1000,0,2,256,256,128,0.351967990398407,0.40771201252937317,0.0958079993724823
1000,0,2,256,256,256,0.3659839928150177,0.41312000155448914,0.07347200065851212
1000,0,2,256,256,512,0.3548800051212311,0.44361600279808044,0.07318399846553802
1000,0,2,256,256,1024,0.4548479914665222,0.6390079855918884,0.09699200093746185
1000,0,2,256,256,2048,0.49215999245643616,0.5295040011405945,0.12918399274349213
1000,0,2,256,512,64,0.3542720079421997,0.44655999541282654,0.07206399738788605
1000,0,2,256,512,128,0.35046398639678955,0.42236799001693726,0.07363200187683105
1000,0,2,256,512,256,0.36604800820350647,0.4312640130519867,0.07302399724721909
1000,0,2,256,512,512,0.3543039858341217,0.408160001039505,0.07267200201749802
1000,0,2,256,512,1024,0.3705280125141144,0.40828800201416016,0.07955200225114822
1000,0,2,256,512,2048,0.4899519979953766,0.5535039901733398,0.1234240010380745
1000,0,2,256,1024,64,0.37696000933647156,0.4105280041694641,0.07334399968385696
1000,0,2,256,1024,128,0.4687359929084778,0.5458559989929199,0.11609599739313126
1000,0,2,256,1024,256,0.3740159869194031,0.43484801054000854,0.07337599992752075
1000,0,2,256,1024,512,0.3527359962463379,0.4331200122833252,0.07734400033950806
