layer_type,fp16,LR,d_model (encoder_embed_dim),d_ffn (encoder_ffn_embed_dim),n_heads (encoder_attention_heads),d_head (encoder_head_dim),n_layers (encoder_layers),d_model (decoder_embed_dim),d_ffn (decoder_ffn_embed_dim),n_heads (decoder_attention_heads),d_head (decoder_head_dim),n_layers (decoder_layers),Total Params (formula) (no bias or LayerNorm params),dropout,batch size (max-tokens),trainable params (fairseq log),application_id,experiment,BEST_BLEU_VAL_EPOCH_10,BEST_BLEU_VAL_EPOCH_20,BEST_BLEU_VAL_EPOCH_30,BEST_BLEU_VAL_EPOCH_120,BEST_LOSS_VAL_EPOCH_10,BEST_LOSS_VAL_EPOCH_20,BEST_LOSS_VAL_EPOCH_30,BEST_LOSS_VAL_EPOCH_120,BEST_LOSS_TRAIN_EPOCH_10,BEST_LOSS_TRAIN_EPOCH_20,BEST_LOSS_TRAIN_EPOCH_30,BEST_LOSS_TRAIN_EPOCH_-1,philly_compute_tim,epoch 1,epoch 2,epoch 3,epoch 4,epoch 30,Median
baseline,fp16,0.0005,512,1024,4,128,7,512,1024,4,128,7,44625920,0.3,8192,,1583898264103_234429,015fc86d,30.07999992,33.20000076,33.93000031,34.15999985,4.271999836,3.976000071,3.946000099,3.946000099,4.250999928,3.585000038,3.313999891,2.65899992,6:28:35,70.561,64.2,64.405,64.334,67.507,64.41
baseline,fp16,0.0005,512,1024,4,128,7,512,1024,4,128,7,44625920,0.3,8192,,1583898264103_234416,015fc86d,29.89999962,33.22000122,33.86999893,34.22999954,4.267000198,3.976000071,3.944000006,3.944000006,4.250999928,3.584000111,3.313999891,2.657999992,6:34:57,69.958,68.625,133.314,64.27,63.49,68.63
baseline,fp16,0.0005,512,1024,4,128,8,512,1024,4,128,8,49868800,0.3,8192,,1583898264103_234425,015fc86d,30.47999954,33.52000046,34.04999924,34.27000046,4.18900013,3.946000099,3.931999922,3.931999922,4.175000191,3.522000074,3.244999886,2.562000036,6:56:26,74.593,72.451,72.489,72.446,72.462,72.46
baseline,fp16,0.0005,512,1024,4,128,8,512,1024,4,128,8,49868800,0.3,8192,,1583898264103_234419,015fc86d,30.47999954,33.52000046,34.04999924,34.27000046,4.18900013,3.946000099,3.931999922,3.931999922,4.175000191,3.522000074,3.244999886,2.562000036,7:01:10,72.755,71.763,72.354,71.803,72.453,72.35
baseline,fp16,0.0005,512,1024,4,128,9,512,1024,4,128,9,55111680,0.3,8192,,1583898264103_234431,015fc86d,30.40999985,33.43999863,34.04000092,34.20999908,4.203000069,3.938999891,3.924999952,3.924999952,4.184000015,3.483999968,3.190000057,2.471999884,?,81.766,81.65,80.236,81.798,81.753,81.75
baseline,fp16,0.0005,512,1024,4,128,9,512,1024,4,128,9,55111680,0.3,8192,,1583898264103_234414,015fc86d,30.40999985,33.43999863,34.04000092,34.20999908,4.203000069,3.938999891,3.924999952,3.924999952,4.184000015,3.483999968,3.190000057,2.47300005,?,81.83,80.953,80.718,80.692,81.928,80.95
baseline,fp16,0.0005,512,1024,4,128,10,512,1024,4,128,10,60354560,0.3,8192,run1,1583898264103_227948,0ae45207,30.77000046,33.81000137,34.18999863,34.34000015,4.152999878,3.917000055,3.914000034,3.914000034,4.206999779,3.395999908,3.10800004,2.394999981,?,89.7,88.257,88.231,88.614,89.168,88.61
baseline,fp16,0.0005,512,1024,4,128,10,512,1024,4,128,10,60354560,0.3,8192,run0,1583898264103_227946,0ae45207,30.79000092,33.86999893,34.29000092,34.29000092,4.15500021,3.921999931,3.915999889,3.915999889,4.129000187,3.436000109,3.131999969,2.394999981,?,92.991,90.74,89.278,89.887,90.748,90.74
baseline,fp16,0.0005,512,1024,4,128,20,512,1024,4,128,20,112783360,0.3,8192,run1,1583898264103_227944,0ae45207,31.22999954,33.86999893,33.88000107,33.88000107,4.070000172,3.915999889,3.915999889,3.915999889,4.09100008,3.22300005,2.805000067,2.042999983,12:19:37,172.189,349.947,172.223,169.671,170.962,172.19
baseline,fp16,0.0005,512,1024,4,128,20,512,1024,4,128,20,112783360,0.3,8192,run0,1583898264103_227947,0ae45207,30.60000038,33.70000076,33.75,33.75,4.125999928,3.911000013,3.911000013,3.911000013,4.093999863,3.25,2.772000074,2.042999983,11:40:59,176.786,174.868,176.307,175.011,172.674,175.01
